experiment, n_threads, n_trials, N, axpy, inner_product
vector,    1,   10, 10000000, 0.0412041137, 0.0336744127
vector,    2,   10, 10000000, 0.0413489559, 0.0336820597
vector,    3,   10, 10000000, 0.0414693105, 0.0338448568
vector,    4,   10, 10000000, 0.0416377755, 0.0337765027
vector,    5,   10, 10000000, 0.0413236004, 0.0337528299
vector,    6,   10, 10000000, 0.0413453320, 0.0337969104
vector,    7,   10, 10000000, 0.0412123937, 0.0336971906
vector,    8,   10, 10000000, 0.0414103421, 0.0337341020
